Time,Volume,ATR,p1wick,p1body,p1tail,p1dir,p2wick,p2body,p2tail,p2dir,p3wick,p3body,p3tail,p3dir,ans
18,54496,0.0068353,0.0009900,0.0029400,0.0004200,0,0.0042000,0.0032100,0.0012800,1,0.0020000,0.0001900,0.0015000,0,LE
22,148600,0.0067485,0.0032500,0.0010800,0.0012900,0,0.0009900,0.0029400,0.0004200,0,0.0042000,0.0032100,0.0012800,1,LE
02,239808,0.0069408,0.0028800,0.0032400,0.0033200,0,0.0032500,0.0010800,0.0012900,0,0.0009900,0.0029400,0.0004200,0,L
06,175741,0.0070336,0.0017900,0.0017100,0.0047400,0,0.0028800,0.0032400,0.0033200,0,0.0032500,0.0010800,0.0012900,0,L
10,151889,0.0068876,0.0004300,0.0038000,0.0007600,1,0.0017900,0.0017100,0.0047400,0,0.0028800,0.0032400,0.0033200,0,LE
14,93991,0.0067478,0.0012300,0.0035100,0.0001900,1,0.0004300,0.0038000,0.0007600,1,0.0017900,0.0017100,0.0047400,0,LE
18,53531,0.0064872,0.0002100,0.0011800,0.0017100,0,0.0012300,0.0035100,0.0001900,1,0.0004300,0.0038000,0.0007600,1,LE
22,148763,0.0062989,0.0012200,0.0021300,0.0005000,0,0.0002100,0.0011800,0.0017100,0,0.0012300,0.0035100,0.0001900,1,LE
02,240164,0.0064818,0.0008000,0.0077100,0.0003500,1,0.0012200,0.0021300,0.0005000,0,0.0002100,0.0011800,0.0017100,0,LE
06,175795,0.0067059,0.0037300,0.0030400,0.0028500,1,0.0008000,0.0077100,0.0003500,1,0.0012200,0.0021300,0.0005000,0,LE
10,151381,0.0067962,0.0022200,0.0057500,0.0000000,1,0.0037300,0.0030400,0.0028500,1,0.0008000,0.0077100,0.0003500,1,LE
14,95392,0.0065515,0.0007200,0.0012600,0.0013900,1,0.0022200,0.0057500,0.0000000,1,0.0037300,0.0030400,0.0028500,1,LE
18,54102,0.0062314,0.0003800,0.0006900,0.0010000,0,0.0007200,0.0012600,0.0013900,1,0.0022200,0.0057500,0.0000000,1,LE
22,149734,0.0061049,0.0011100,0.0007400,0.0026100,0,0.0003800,0.0006900,0.0010000,0,0.0007200,0.0012600,0.0013900,1,LE
02,238903,0.0061938,0.0013200,0.0052200,0.0008100,0,0.0011100,0.0007400,0.0026100,0,0.0003800,0.0006900,0.0010000,0,LE
06,174013,0.0060714,0.0025600,0.0007400,0.0011800,0,0.0013200,0.0052200,0.0008100,0,0.0011100,0.0007400,0.0026100,0,LE
10,151674,0.0060434,0.0020000,0.0021700,0.0015100,0,0.0025600,0.0007400,0.0011800,0,0.0013200,0.0052200,0.0008100,0,LE
14,42085,0.0057810,0.0004200,0.0010000,0.0009500,1,0.0020000,0.0021700,0.0015100,0,0.0025600,0.0007400,0.0011800,0,LE
14,51863,0.0056167,0.0019400,0.0011100,0.0004300,1,0.0004200,0.0010000,0.0009500,1,0.0020000,0.0021700,0.0015100,0,LE
18,94496,0.0055148,0.0012100,0.0013900,0.0015900,0,0.0019400,0.0011100,0.0004300,1,0.0004200,0.0010000,0.0009500,1,LE
22,152695,0.0053323,0.0019000,0.0000400,0.0010200,1,0.0012100,0.0013900,0.0015900,0,0.0019400,0.0011100,0.0004300,1,LE
02,177667,0.0054621,0.0007300,0.0047100,0.0017100,1,0.0019000,0.0000400,0.0010200,1,0.0012100,0.0013900,0.0015900,0,LE
06,240037,0.0056956,0.0003200,0.0071600,0.0012500,1,0.0007300,0.0047100,0.0017100,1,0.0019000,0.0000400,0.0010200,1,LE
10,150457,0.0054780,0.0002100,0.0019400,0.0005000,0,0.0003200,0.0071600,0.0012500,1,0.0007300,0.0047100,0.0017100,1,LE
14,54372,0.0052982,0.0012100,0.0009900,0.0007600,1,0.0002100,0.0019400,0.0005000,0,0.0003200,0.0071600,0.0012500,1,LE
18,94410,0.0051511,0.0002300,0.0019400,0.0010700,0,0.0012100,0.0009900,0.0007600,1,0.0002100,0.0019400,0.0005000,0,LE
22,152912,0.0050096,0.0022100,0.0002800,0.0006800,0,0.0002300,0.0019400,0.0010700,0,0.0012100,0.0009900,0.0007600,1,LE
02,174334,0.0049589,0.0005000,0.0019500,0.0018500,1,0.0022100,0.0002800,0.0006800,0,0.0002300,0.0019400,0.0010700,0,LE
06,241021,0.0049712,0.0002600,0.0017800,0.0030900,0,0.0005000,0.0019500,0.0018500,1,0.0022100,0.0002800,0.0006800,0,LE
10,150218,0.0047811,0.0001800,0.0009800,0.0011500,1,0.0002600,0.0017800,0.0030900,0,0.0005000,0.0019500,0.0018500,1,LE
14,54414,0.0045703,0.0006200,0.0006900,0.0005200,0,0.0001800,0.0009800,0.0011500,1,0.0002600,0.0017800,0.0030900,0,LE
18,95871,0.0043953,0.0009200,0.0002100,0.0009900,0,0.0006200,0.0006900,0.0005200,0,0.0001800,0.0009800,0.0011500,1,LE
22,150449,0.0043227,0.0019300,0.0001700,0.0012800,1,0.0009200,0.0002100,0.0009900,0,0.0006200,0.0006900,0.0005200,0,LE
02,177869,0.0043947,0.0004300,0.0046900,0.0002100,1,0.0019300,0.0001700,0.0012800,1,0.0009200,0.0002100,0.0009900,0,LE
06,241036,0.0044615,0.0001900,0.0030800,0.0020600,0,0.0004300,0.0046900,0.0002100,1,0.0019300,0.0001700,0.0012800,1,LE
10,150464,0.0050264,0.0001700,0.0112200,0.0009800,1,0.0001900,0.0030800,0.0020600,0,0.0004300,0.0046900,0.0002100,1,S
14,54438,0.0053302,0.0012500,0.0070100,0.0010200,0,0.0001700,0.0112200,0.0009800,1,0.0001900,0.0030800,0.0020600,0,LE
18,94595,0.0051709,0.0010900,0.0015100,0.0005000,1,0.0012500,0.0070100,0.0010200,0,0.0001700,0.0112200,0.0009800,1,LE
22,151977,0.0053830,0.0059500,0.0013900,0.0008000,1,0.0010900,0.0015100,0.0005000,1,0.0012500,0.0070100,0.0010200,0,S
02,175019,0.0054735,0.0008300,0.0016900,0.0041300,1,0.0059500,0.0013900,0.0008000,1,0.0010900,0.0015100,0.0005000,1,S
